factor_corr,method,recovery,recovery_se,flip,flip_se,false_sign,false_sign_se
0.0,LASSO,0.6834333333333333,0.0019173056905749566,0.03001666666666667,0.0007822678924483323,0.45857777777777775,0.0012285733973160056
0.0,GROUP-fixed,0.9926666666666667,0.0011822765233978798,0.00016666666666666666,0.00016624947786050004,0.5785555555555555,0.004242284208848103
0.0,HCGL,0.6968833333333333,0.002234959296174218,0.032350000000000004,0.0008389138149350557,0.4787444444444445,0.0014972260358640359
0.2,LASSO,0.6738833333333334,0.002387906742549028,0.04195,0.0009972956487978432,0.5121388888888889,0.002178173681417474
0.2,GROUP-fixed,0.9430000000000001,0.0027038039047896116,0.0105,0.0014448663913624983,0.733,0.005335017095324757
0.2,HCGL,0.6855500000000001,0.0025645313087060044,0.045983333333333334,0.0010659626582994776,0.5366555555555554,0.0024744745046320587
0.4,LASSO,0.65665,0.0030774716805267994,0.08073333333333334,0.001486449909459896,0.61615,0.0036146724105792036
0.4,GROUP-fixed,0.8370000000000002,0.003970656256982101,0.07566666666666666,0.0030065668867404966,0.8775,0.004891058546337766
0.4,HCGL,0.6654166666666668,0.0032009059047574495,0.08870000000000001,0.0016356768901249685,0.6429444444444445,0.003969659235305273
0.6,LASSO,0.6453666666666668,0.0036860691197474244,0.14043333333333333,0.0019456946774295749,0.7329611111111111,0.004055862069847744
0.6,GROUP-fixed,0.7281666666666666,0.004177303090644863,0.18766666666666665,0.0042052216218516816,0.9694444444444446,0.002839046527478052
0.6,HCGL,0.6500333333333334,0.0037884319535484157,0.15114999999999998,0.0021522078457042924,0.7557944444444444,0.004169953351872191
0.8,LASSO,0.6444833333333332,0.00398661632493299,0.21653333333333336,0.002466648648582841,0.8485944444444445,0.003204361201530898
0.8,GROUP-fixed,0.6919999999999998,0.0034899856733230307,0.2961666666666667,0.003809181160185363,0.9979444444444445,0.0007620533502596619
0.8,HCGL,0.6477666666666667,0.004029482321313469,0.22594999999999998,0.0025693576261608874,0.8637555555555556,0.0031807829613027007
