r2,method,sign_recovery,sign_recovery_se
0.05,LASSO,0.5517666666666666,0.0020470724353465254
0.05,HCGL,0.5578333333333333,0.0023070844997288005
0.05,GROUP-fixed,0.9595,0.002591412098965864
0.1,LASSO,0.6834333333333333,0.0019173056905749566
0.1,HCGL,0.6968833333333333,0.002234959296174218
0.1,GROUP-fixed,0.9926666666666667,0.0011822765233978798
0.2,LASSO,0.8258500000000001,0.0016585632168972168
0.2,HCGL,0.8595833333333333,0.0018961858646591935
0.2,GROUP-fixed,0.9978333333333333,0.000581067026158677
0.3,LASSO,0.8953,0.0014922373210123855
0.3,HCGL,0.9446000000000001,0.0013223632044353185
0.3,GROUP-fixed,0.9993333333333334,0.00032998316455372216
0.5,LASSO,0.9541166666666667,0.001124716630978666
0.5,HCGL,0.9956333333333334,0.0005035374861914455
0.5,GROUP-fixed,0.9996666666666667,0.00023452078799117142
