n_obs,method,sign_recovery,sign_recovery_se
40,GROUP-fixed,0.9358333333333334,0.0029994212404691966
40,LASSO,0.5493666666666667,0.0021906860924275654
80,GROUP-fixed,0.9926666666666667,0.0011822765233978798
80,LASSO,0.6834333333333333,0.0019173056905749566
160,GROUP-fixed,0.9998333333333334,0.00016624947786050002
160,LASSO,0.8179833333333335,0.0016681489242071077
320,GROUP-fixed,1.0,0.0
320,LASSO,0.9248833333333333,0.001123209068299892
640,GROUP-fixed,1.0,0.0
640,LASSO,0.9794499999999999,0.0005796442874729287
